company_name,date,rating,channel,title,description
Evanston ,2024-05-17,5,Airbnb,,"we stayed here for 3 weeks and from the minute we walked in to this extremely clean home, we felt right at home. any questions we had were addressed immediately.  very quiet and safe area. the back yard very private and deck was large and roomy. centrally located to many locations, which was a huge plus. this home is highly recommended. and if the need arises, we definitely will book here again"
1123 Olive St.,2025-01-20,5,Airbnb,,Great stay. Accurate description. Beautiful home.
44 S Holmes,2024-07-22,5,Airbnb,,"The place is amazing. It’s so clean and smells great. One thing I am always impressed with is soft towels-they always get crunchy or just aren’t soft. The only complaint I have about the place is the beds. It would be worth it to upgrade—just have good protection on the mattress with a topper or protector. The beds were hard as a rock slightly too small (maybe both should be queens). The location is not the greatest. This side of town seems pretty run down, but boy oh boy do they have Mexican restaurants out the wazoo 🤣 overall we had a great stay!"
30 Village Court,2023-04-09,5,Airbnb,,Perfect place to stay when we was in town for business. We booked this property kind of last minute and the host was very helpful and responsive to any questions or concerns that I had. The house was very clean and we felt right at home.  I would stay here again no problem if we are back in town.
Unit 110,2023-08-01,5,Airbnb,,Smooth stay in Indianapolis. Highly recommend Brentwood’s properties for their excellent customer experience.
College ,2024-11-02,5,Airbnb,,The house was very clean and comfortable.  The host was super responsive.  The little treat left for us for the Taylor Swift concert was a nice little touch to find.  Thank you!
2836 N. Washington ,2024-05-02,5,Airbnb,,Everything is clean and nice. Thanks for the Welcome basket and coffee machine. Location is good and quiet. And not far from exhibition. We have a wonderful stay!
135 Hillcrest ,2023-06-11,4,Airbnb,,The place was clean and had enough space for 6 of us. The location was great. They were timely about getting back to us when we had an issue with the WiFi.
Pleasant ,2025-01-04,5,Airbnb,,"This was a fantastic place for our family of 10 (5 adults, 5 kids) to gather to celebrate Christmas. Plenty of bedrooms and the kids had a blast in the basement game room allowing the adults to visit upstairs. The large kitchen was great for meals together. The only negative was that since it was winter, we did not get to experience the outdoor spaces. We are hoping to return when the weather is warmer."
2836 N. Washington ,2025-02-09,5,Airbnb,,Love living room and bathroom and nice shower make us become peaceful
4452 Carrollton,2024-07-07,5,Airbnb,,"Quiet setting, close to everything and being pet friendly was awesome for a pet parent like myself. Thank you for providing a safe and clean environment."
Morris ,2024-08-04,5,Airbnb,,"Lots of space and modern throughout the inside. Plenty of bed space for everyone. The road can be a bit noisy during rush hour times during the week. The kitchen was well stocked and had chips and breakfast foods with coffee. The bathroom had all the amenities including soap, towels, and hairdryers."
848 Camp St,2024-06-07,5,Airbnb,,"Wir waren eine Gruppe von Kollegen die dieses Haus für ein paar Tage gemietet haben. Die Kommunikation mit den Gastgebern lief reibungslos und war immer sehr freundlich, geantwortet wurde sehr schnell.<br/>Die Unterkunft war sehr sauber und gut ausgestattet. Die Wohngegend war ruhig und wir fühlten uns sicher. Zum Canal Walk war es nicht weit.<br/>Alles in allem waren wir sehr zufrieden und haben unsere Zeit in Indianapolis sehr genossen."
Evanston ,2023-12-27,5,Airbnb,,Great stay in Indy!
Gandy,2024-10-07,1,Airbnb,,"After checkout you are charged with damages. Cleaning fees and new mattress charge for Urine, when in fact it was sweat from poor HVAC.  Bedrooms didn't get nearly as cold as living room where thermostat was located.  Water leaked from dishwasher excessively.  Make you sign and entire other contract beyond Air BnB contract.  Don't recommend."
5827 North College,2018-05-28,5,Airbnb,,Kathy was an amazing host! We felt so welcomed in her home. Highly recommend this stay!
1232 Union Street,2024-09-23,5,Airbnb,,"Great house, good location! Very good experience!"
College ,2023-03-05,5,Airbnb,,beautiful home and fantastic host! Highly recommend!
6140 Winthrop ,2024-07-15,4,Airbnb,,"Easy access to restaurants, bars, and greenway."
30 Village Court,2023-04-02,5,Airbnb,,"It is a beautiful house located in a peaceful neighborhood. The house was very clean and has a beautiful minimalistic decoration (ideal if you have kids), looks exactly like the pictures so for sure you WON’T get unpleasant surprises. The kitchen has all the features you would need in your stay. <br/>Beds equipped with a lot of pillows, soft sheets and warm duvets. If you stay with little kids I would recommend bring their small pillows because the ones the house has are kinda big for them. <br/>Gabriel was a great host, very responsive. <br/>I highly recommend this place to stay."
Unit 262,2023-03-02,5,Airbnb,,Everything was great...loved the convenient location of this place
Pleasant ,2024-06-12,5,Airbnb,,Very clean and beautiful Airbnb. One of the best I’ve been to. We enjoyed the outside patio and slept comfortably in the beds. The location was only 10-15 minutes from downtown. Some great coffee spots nearby. Definitely would visit again if we returned to Indianapolis.
4452 Carrollton,2023-08-20,5,Airbnb,,"Host really helped us out of a jam last minute with another listing that we could not stay in because of my son. This place is exceptionally clean and location is centralized. SoBro is the new Broad Ripple, and this place is right at the flashpoint of the neighborhood. Definitely recommend for the city savvy adventurer type who avoids tourist trap areas. This place is the Crayola 64 box of Indy’s local color. :)"
4452 Carrollton,2022-11-19,4,Airbnb,,"Great place to stay, incredible value and wonderful guide on the mantle for both the rental and the neighborhood. We were especially impressed with the yard, porch and kitchen."
Gandy,2023-08-13,5,Airbnb,,"Quick and easy, great location!"
1901 Carrollton ,2023-03-26,5,Airbnb,,Gabriel was always very responsive and proactive.
College ,2024-07-14,5,Airbnb,,"Clean house, very responsive host; great for a long weekend with family"
5827 North College,2019-10-28,5,Airbnb,,Kathy was an excellent hostess!
844 Camp B,2024-11-10,5,Airbnb,,"Definitely recommend staying here while in Indianapolis!   Great host - very responsive, great location - near restaurants and the canal walk which you can use to stroll a mile to downtown, very quiet historic neighborhood too."
1301 Ringgold,2024-10-05,5,Vrbo,Perfect Spot!,"Great property in a cool part of town.  Owners were fantastic and very responsive.  Stress free process, start to finish.  Only problem was I wish that I had more time for the hot tub!   "
1301 Ringgold,2024-10-06,5,Airbnb,,Overall this was a great stay and I really enjoyed the home. Some issues with the amenities but not much to complain about. I will say make sure to bring your own “essentials” we had to run to the dollar store for some minor things.
Unit 110,2024-05-19,5,Airbnb,,"location is terrible, place is exactly what is in the photos"
Mitchell St,2024-11-16,5,Vrbo,Mother/Daughters Annual Shopping Trip ,Nice comfortable home. Plenty of outlets. Easy front door lock pad. Easy checkout.
5827 North College,2019-08-11,5,Airbnb,,"Beautiful home 20-25 minutes from downtown. Comfortable, easy, and in all ways a good experience."
305 Parkway,2024-11-25,5,Vrbo,Nice house in cute quiet neighborhood,Great place. Comfortable spacious and close to Lucas Oil Stadium.
Brentwood Property Group,2023-04-05,5,Google,,"Gabe and Brentwood is amazing! Makes your life as an AirBnb owner so simple. His attention to detail is excellent and it shows in customer testimonies, the experience he creates for them is one of a kind. Highly recommend the best property manager in Indiana!"
Unit 262,2023-01-20,5,Airbnb,,Gabriel was very nice and responsive even at midnight. He came by to fix the keypad immediately when we messaged him that it wasn’t working. I truly would recommend and would definitely be staying here the bedtime I’m in Indiana
Sanders,2024-08-25,5,Airbnb,,Great place to stay for a week while we were working in the city. Thank you very much.
Puntledge,2024-01-01,5,Airbnb,,"A lovely, well kept home, plenty of space for what we needed, a rest bit for an unexpected stay, glad to find a home for our week with family when more space was needed, the kitchen had many of the items needed while away, clean bathrooms, comfy beds"
135 Hillcrest ,2024-11-17,5,Airbnb,,Very nice and enjoyable stay!
Unit 110,2023-04-23,5,Airbnb,,the neighbors are kind of loud but everyone calms down in the evening. lots of apartment type noises so if you aren't used to that it could bug you. the unit was comfortable but the bed was a little uncomfortable to me. AC unit was in kitchen but did a decent job keeping the entire place at a comfortable temp. Gabriel was courteous and provided many different comforts at his place. Would stay again. 👍
N. New Jersey ,2023-02-17,5,Airbnb,,"House was beautiful, and fir our weekend plans perfectly!"
4452 Carrollton,2022-11-05,5,Airbnb,,Definitely one of the best places you could stay in Indianapolis. yhe house is amazing and it has everything you need and more. If you want the best bang for your buck this is definitely the place you want to stay in the only thing that could of made it better was curtains or blinds in the living room to help with privacy during the evening hours.
1123 Olive St.,2024-10-19,5,Vrbo,Indy,Wonderful home! 
Brentwood Property Group,2024-01-25,5,Google,,
Fess Ave,2024-06-11,5,Airbnb,,Very nice to sit in the backyard and enjoyed the neighborhood. Dears would come right up to the porch. It was really cool. We enjoyed our stay.
Lake Ridge,2024-09-29,4,Airbnb,,"There was an issue that was out of Brentwood’s control. We communicated it and they acted swiftly and remedied the situation. If not for that, it would have been a 5-star stay. Also the weather was rainy - which obviously no one can control - so while the surrounding area looks beautiful, we did not get to enjoy it. The bed is super comfy and the place itself was clean and well appointed. I would recommend it for sure!"
135 Hillcrest ,2024-08-13,5,Airbnb,,Great location helpful hosts. We had a problem with the coffee pot not working and a new one was delivered immediately.
2836 N. Washington ,2023-06-16,5,Airbnb,,Very responsive and they were easy to work with given special circumstances that arose.  Thank you!
Union Carriage House,2025-03-30,5,Airbnb,,"I loved having a garage available for my car and the apartment we stayed in above was so neat! New build obviously, but super clean, and had everything we needed for our weekend stay! We were within walking distance to Lucas Oil Stadium - less than a mile. The price point was affordable and it was a great find last minute. I believe we booked a week ahead before our stay, so I was surprised to find something so close to downtown & for such a great price. The owners communicated with us daily & kept in touch. They were super accommodating! Would stay here again if we visit Indy anytime soon."
Mitchell St,2024-08-05,5,Airbnb,,This is one of the nicest airbnb’s I’ve stayed in . I stayed here for work with 3 other people from Tennessee & it served us well. The best part was I saw deer almost every morning & evening grazing through the yard & neighborhood . It’s a nice neighborhood & I felt at home there . I will definitely try to stay here again when I come back .
2836 N. Washington ,2023-04-08,5,Airbnb,,Great home in a super convenient location! Gabriel was easy to get in touch with for questions and was always responsive! 10/10!!!
848 Camp St,2024-10-26,5,Airbnb,,We had a pleasant stay and enjoyed the accommodations.
Colere Place,2025-03-10,5,Airbnb,,Great place to stay!
1230 Union Street,2023-09-17,3,Airbnb,,It was very clean and nice on the inside but there seems to be dog breeding going on next door and it was very loud. We didn’t know about the area and it’s not a good location due to drug activity and the water in the showers didn’t get warm/hot.
Mitchell St,2024-08-17,3,Airbnb,,Not a five star stay. The location is great. The house is very musty. The closets did not look like they had been painted and smelled very badly. The floors had not been cleaned. We were given one towel and wash cloth each and one hand towel to share between all of us for a 10 day stay. When I reached out to the property management group for more-so I would not have to do laundry every day-they responded that that’s why they gave laundry detergent and reminded me it wasn’t a hotel. They don’t leave towels like a hotel. They said they would reach out to the cleaning company to see what they could do but apparently they couldn’t do anything because I never heard back. The back porch was full of leaves and spider webs- we didn’t use the ping pong table. The neighborhood is very walkable. That’s the only 5 star thing about the place.
5827 North College,2019-11-25,5,Airbnb,,"The accommodations at Kathy’s place were clean, comfortable, and convenient but that was expected. What made the stay better than expected was meeting Kathy and enjoying the relaxed calm she has created in her home. Definitely would stay again."
1232 Union Street,2024-08-04,5,Airbnb,,Brentwood were great to work with.  Very responsive and receptive of our questions and concerns all the way through.  Would work with them again.
Grandview,2023-11-27,5,Airbnb,,Very spacious!  Great location.  Responsive host
Mitchell St,2024-06-27,5,Airbnb,,"The house and hosts were wonderful! We had a few questions and the communication was always prompt and helpful. House was clean and in a great location. Bloomington got rocked with storms and we were without power for 2 nights. Totally out of the control of the hosts, yet they were still were helpful. Highly recommend this house or other houses by this host ☺️"
Sanders,2024-06-12,5,Airbnb,,Host was very proactive when giving instructions. The place was great and exactly what we needed for our stay in Indianapolis.
5827 North College,2019-02-04,5,Airbnb,,"Kathy is an amazing host!  Her house is in a fantastic centrally located area near Broad Ripple.  I had meetings all over the city during my stay and was quickly and easily able to get to them from Kathy's place.  Her street is right near tons of great bars and restaurants, with central Broad Ripple a ten minute walk away.<br/>She has a beautiful old house with a ton of character.  Room was sparkling clean and Kathy and her daughter provide the bathroom upstairs to their guests, so you are not sharing it with anyone else.  Their dog Mac was super friendly, and would snuggle up next to me while i was working on the couch, so if you love dogs like I do, this is the spot for you!  Kathy also left me fresh brewed coffee, bagels, and yogurt for breakfast each morning, a nice touch.  Highly recommended!<br/>  W"
5827 North College,2020-06-21,5,Airbnb,,Kathy was super nice and her home was beautiful. It is an updated older home that is in a great location. As with many other older homes the floors are a bit noisy and the walls are a little thin but we would reccomend this place for anyone looking for a great place to stay.
Senour,2025-03-01,1,Airbnb,,"Given the extensive contract received by the Airbnb host, I would expect the host hold itself to the same standard of those who stay at their property. Unfortunately, that was not the case. This was one of the dirtiest Airbnb’s we have ever stayed in. The floors were filthy. The bathroom doesn’t look like it’s been cleaned in months with rings around the toilet and in the tub. Bugs were present. It was very obvious they do not clean or have a professional cleaner. It could be because there is a for sale sign in the yard but that’s no excuse to half do your hosting when people are paying good money to stay here."
6140 Winthrop ,2023-06-16,5,Airbnb,,Absolutely enjoyed our stay. Very nice airbnb.  Porch is beautiful. House is beautifully decorated. Specially all material kept for use was of high quality. We found everything we needed. Very safe area. Close to Monontrail. Parking space is good.  Very clean.
30 Village Court,2023-06-22,5,Airbnb,,We enjoyed our stay very much!! The house was very clean and has a  fresh uncluttered feeling I loved.  It's just as we had seen in the pictures and the description is very accurate too. Gabe and Amor were friendly and quick answering a couple of questions I had. We like the location very much and  would love to stay here again!
Lake Ridge,2024-07-14,5,Airbnb,,Very nice place in a wooded setting with screened deck so you could be outside without getting attacked by bugs.
5827 North College,2019-05-27,5,Airbnb,,"Kathy's place is amazing! The bedroom and bathroom were very clean and comfortable. One of the best showers ever, actually! <br/>She has an adorable dog who got quite excited to see a new visitor - but she quickly got acclimated to me. And she didn't intrude in the bedroom or bathroom. <br/>Location is great. Neighborhood is safe and there is easy access to a lot of attractions and places of interest on the north side of Indy. <br/>Kathy was very sweet and responded very quickly to my messages. <br/>A+++ 10/10 experience!"
2834 N. Washington ,2024-06-14,5,Airbnb,,Had a great stay at this Brentwood Air BnB.  Everything is exactly like the description.
1901 Carrollton ,2023-11-05,4,Airbnb,,My stay was good but the floor needs to be cleaned and I thought it was a bigger place from the pics but it a great place overall!
Morris ,2024-06-30,5,Airbnb,,"We booked this last minute after our hotel rooms didn't work out, which turned out to be for the best. We had plenty of room for a family of 5. The place was as advertised."
Senour,2023-12-19,5,Airbnb,,It was a great place to stay. Brentwood was very responsive and made our stay a wonderful experience. They accommodated to allow extra people to stay and provided extra supplies once we ran out. Would rent any of their properties again!
Brentwood Property Group,2024-03-05,5,Google,,
Primrose Ave,2024-06-22,5,Vrbo,Great place to stay,"This is a very nice place, with a great backyard. They were very responsive and willing to help if you needed anything. Will stay here again."
30 Village Court,2023-08-17,5,Airbnb,,Location and place was just as expected. Loved the spaciousness. Neighborhood was quiet and friendly.
6115 Ralston,2024-10-20,5,Airbnb,,Wonderful place to stay and close to shopping and restaurants. Host were wonderful and very responsive. I would recommend this place and I would stay here again.
N. New Jersey ,2023-06-11,5,Airbnb,,"Great location downtown and wonderful house. Lots of space, super cute, everything was perfect!"
135 Hillcrest ,2024-09-28,4,Airbnb,,Quiet neighborhood...
2836 N. Washington ,2024-12-29,5,Vrbo,,
N. New Jersey ,2023-05-15,5,Airbnb,,The house is perfect for a large group. It’s spotless with everything you need for a terrific stay.
1620 Walden Court,2024-08-14,4,Airbnb,,Charming house    Very nicely appointed and in a very interesting area.    Someone definitely cares about this house.
305 Parkway,2025-01-20,5,Vrbo,Great stay ,Beautiful house with lots of space! Easy check in and very quick response from host! 
Southridge,2024-10-27,5,Vrbo,A perfect house in an amazing location,"This house was perfect for us, 3moms with their daughters.  It had everything we needed plus more.  The game room in the garage was super fun and the outdoor area was nice to relax and talk.  The location was perfect with easy access to amazing restaurants.  We could have walked but we drove.Stay here and you will not be disappointed!!"
Morris ,2025-02-09,5,Airbnb,,"What a beautiful home!<br/>Our family of five was very comfortable here!  Our hosts had taken care to provide everything we would need for a lovely weekend.  Such wonderful communication!  <br/>This home has a fantastic kitchen, if you are looking to dine in.<br/>It is conveniently located near several restaurants, and if you are visiting Indianapolis for an event at Lucas Oil Stadium, it is a short 1 mile walk.<br/>We will definitely stay here again on a future visit!"
Puntledge,2023-07-10,5,Airbnb,,"The place was spacious, clean and well-equipped and the host was responsive to our questions and requests!"
Unit 262,2022-08-27,5,Airbnb,,"We attended a week long training in Plainfield, excellent location for us, clean, and convenient."
5827 North College,2019-12-08,5,Airbnb,,"Very nice place with off-street parking, private bathroom, and a cute dog."
Morris ,2023-11-25,5,Airbnb,,"Great place, close to downtown and restaurants. Very spacious home with everything we needed for our stay. Great access to the highway. Will definitely book again when in town."
Unit 262,2022-04-24,5,Airbnb,,"Amazing place really close to evething you might need, clean place and awesome host."
1230 Union Street,2024-03-17,5,Airbnb,,Gorgeous place. Super clean with everything you need!
44 S Holmes,2024-08-01,5,Airbnb,,The space was spotless and very up to date
5827 North College,2020-01-30,4,Airbnb,,Kathy is very accommodating and friendly. Her space is very trendy and close to many local sites
305 Parkway,2025-03-02,5,Airbnb,,"We were travelling from Canada and stayed for 2 days. The property was Very clean and a pleasant place to stay at. It was Very spacious. Laundry was a plus !  Kitchen was stocked well. Linens were clean. Washrooms were clean.  Had a super convenient back entrance into the home and a private parking !!  <br/>Also the hosts were super responsive. overall, it was a very pleasant stay  for my family and I"
Pleasant ,2024-12-26,5,Vrbo,,
Brentwood Property Group,2024-02-18,5,Google,,Great management team
College ,2023-06-30,5,Airbnb,,"Stayed here again, had a great experience again. House is super cozy and clean. Would stay here again for sure."
Lake Ridge,2024-11-10,5,Vrbo,Wonderful weekend getaway!!,This is all the description says it is and more. Peaceful setting with views of the reservoir from the deck. Everything you need is provided by the hosts. Would highly recommend this condo and hope to return. 
1301 Ringgold,2025-03-30,5,Airbnb,,"Perfect location and amenities for our needs.  Large, open, well-stocked kitchen was wonderful for cooking all our meals. Great prompt communication with the owner.  We’ll definitely look to rent here again when needed!"
330 E Caven,2024-04-28,5,Airbnb,,"Wonderful place, spacious and clean. Spacious kitchen and counter top space.  Love the master shower and dog friendly!  It is close to downtown. We frequently come down to Indy so this was a great place to meet up with family.  Host was super great!"
4452 Carrollton,2023-06-25,5,Airbnb,,"This house was even better than the pictures. We rented mainly for the fenced in backyard for our dogs, but the house was spacious and clean and much bigger than we expected. We got to the home and realized we forgot our leashes with the poop bags on them, so we were very happy that the owners included a poop bag dispenser on the fence outside. There were a lot of friendly and helpful touches like that around the house. We felt very safe in the neighborhood too, and we were able to walk to a pizza place and brewery."
Delaware,2022-10-16,5,Airbnb,,"Wonderful location, excellent communication with the host. You are not more than a 10 minute drive from wherever you desire to go. 10/10 would stay again."
2834 N. Washington ,2024-03-04,5,Airbnb,,"I love the place it was very much nice inside, and loved the host will definitely be staying again."
6115 Ralston,2024-11-09,5,Airbnb,,We felt very comfortable from the moment we walked in until the moment we left! Everything was perfect!
1232 Union Street,2024-11-03,5,Airbnb,,"The home was clean and nicely decorated! They supplied small comforts of home like tower fans, smart tvs in the bedrooms, sound machines, and snacks. The hosts were very responsive and helpful. Also, the location was great and was about a 20 minute walk to Lucas Oil Staduim which was perfect for us!"
